symbol,side,quantity,ref_price
688691,buy,200,66.89
688001,buy,300,54.89
603619,buy,800,24.5
300820,buy,300,59.12
301631,buy,300,64.38
603301,buy,200,81.7
688503,buy,200,75.7
600618,buy,1800,10.56
688717,buy,400,48.0
600718,buy,2400,8.29
002163,buy,2300,8.55
605599,buy,1300,15.34
002911,buy,1700,11.33
002237,buy,1300,15.04
300576,buy,600,30.15
601022,buy,2400,8.3
002537,buy,3200,6.11
600057,buy,3000,6.52
002364,buy,500,38.57
000028,buy,1000,19.91
300598,buy,500,34.18
600916,buy,2500,7.95
600597,buy,2800,6.98
601068,buy,4300,4.61
002518,buy,500,35.84
301087,buy,300,50.2
000156,buy,2800,7.12
601528,buy,3900,5.09
600006,buy,3700,5.35
301216,buy,900,20.32
600373,buy,2700,7.28
601020,buy,800,23.2
300257,buy,1000,18.99
600422,buy,2300,8.57
300456,buy,400,40.26
002221,buy,3300,5.91
002061,buy,5700,3.48
601949,buy,3700,5.31
600662,buy,4700,4.25
603508,buy,900,21.41
300657,buy,500,37.29
600490,buy,2500,7.74
600167,buy,3500,5.58
002125,buy,1500,12.93
600710,buy,1800,10.58
688182,buy,600,29.22
002506,buy,7500,2.65
600782,buy,7100,2.81
002287,buy,900,20.14
000620,buy,6100,3.24
