symbol,side,quantity,ref_price
600916,buy,2400,8.07
603599,buy,1800,10.77
002681,buy,4000,4.96
688001,buy,400,48.55
601020,buy,800,22.61
600420,buy,2300,8.49
600618,buy,1900,10.46
301563,buy,100,113.88
603219,buy,1500,13.02
600623,buy,2300,8.6
605507,buy,1200,15.58
601068,buy,4300,4.55
600783,buy,1200,15.55
002060,buy,6200,3.18
603301,buy,200,81.23
600325,buy,7600,2.63
600750,buy,800,23.44
600409,buy,2700,7.17
301662,buy,300,62.7
600612,buy,500,33.8
600006,buy,3700,5.36
600216,buy,1500,12.68
601975,buy,4400,4.48
605116,buy,1000,19.64
601022,buy,2300,8.35
603690,buy,800,23.29
600116,buy,3100,6.28
002929,buy,300,50.65
002911,buy,1700,11.51
688717,buy,400,45.5
605011,buy,1100,17.15
603556,buy,700,25.2
601568,buy,5200,3.81
002946,buy,1200,15.58
002456,buy,2600,7.51
603929,buy,100,150.26
301177,buy,800,24.47
600305,buy,2900,6.82
605196,buy,500,34.41
688586,buy,1700,11.36
301005,buy,300,65.49
600662,buy,4600,4.28
600782,buy,7100,2.8
603355,buy,700,27.34
688003,buy,200,75.01
603124,buy,100,119.21
600475,buy,1300,14.89
002075,buy,5400,3.7
688691,buy,300,61.2
