symbol,side,quantity,ref_price
603194,buy,500,33.52
601921,buy,2700,7.33
300602,buy,500,37.56
601326,buy,6000,3.33
002458,buy,1900,10.02
002194,buy,1800,10.58
002010,buy,4200,4.76
002815,buy,1500,12.76
600058,buy,1800,10.66
600783,buy,1000,18.54
002099,buy,3600,5.51
002364,buy,400,43.0
300134,buy,2300,8.56
300119,buy,1000,19.68
600928,buy,5600,3.54
300244,buy,900,21.15
301489,buy,100,104.21
301413,buy,200,69.1
600757,buy,2500,7.71
002716,buy,2200,9.06
603887,buy,1600,12.49
002891,buy,600,31.65
600151,buy,1800,11.05
300184,buy,1600,12.41
002698,buy,1400,13.98
300102,buy,1000,19.08
300083,buy,1400,13.98
688001,buy,400,49.0
300171,buy,1400,14.02
600531,buy,1500,13.17
002534,buy,1200,15.76
300363,buy,800,22.36
688691,buy,200,67.65
603826,buy,1100,17.46
000686,buy,2400,8.13
603360,buy,1400,13.59
002539,buy,1600,12.38
002023,buy,1800,10.77
600179,buy,4300,4.58
601900,buy,1600,11.82
600639,buy,2000,9.53
300990,buy,200,73.15
603132,buy,1000,18.33
603219,buy,1300,14.96
603328,buy,1800,10.76
301047,buy,100,120.0
300088,buy,2600,7.52
000837,buy,1800,10.66
002181,buy,2100,9.2
301225,buy,300,63.52
